id,year,firstyear_spell,event,event2,deceased,time,lastyear_spell,listing,uri,rank,worth,country,selfmade,sector,age,age_imputed,worth_def,female,gensource,first_2010,continent
1,2021,2021,1,1,0,3,2023,1,a-jayson-adair,2674,1000,United States,1,5. Tradable,52,NA,880,0,Self-made male,0,North America
2,2010,2010,0,1,1,8,2017,1,a-jerrold-perenchio,463,2100,United States,1,3. Nontradable,80,NA,1512,0,Self-made male,1,North America
3,2010,2010,1,1,0,3,2012,1,abdul-aziz-al-ghurair,258,3500,United Arab Emirates,0,4. Financial,56,NA,2520,0,Inherited male,1,Asia
4,2015,2015,1,1,0,1,2015,1,abdul-majeed-alhokair,1324,1400,Saudi Arabia,1,3. Nontradable,45,NA,1092,0,Self-made male,0,Asia
4,2017,2017,1,1,0,1,2017,2,abdul-majeed-alhokair,1678,1200,Saudi Arabia,1,3. Nontradable,47,NA,972,0,Self-made male,0,Asia
5,2016,2016,1,1,0,1,2016,1,abdul-rasyid,1577,1100,Indonesia,1,5. Tradable,58,NA,869,0,Self-made male,0,Asia
6,2010,2010,1,1,0,14,2023,1,abdulla-al-futtaim,880,1100,United Arab Emirates,0,5. Tradable,70,NA,792,0,Inherited male,1,Asia
7,2013,2013,1,1,0,11,2023,1,abdulla-bin-ahmad-al-ghurair,437,3100,United Arab Emirates,0,6. Diversified / Other,66.51573369,66.51573369,2387,0,Inherited male,0,Asia
8,2010,2010,1,1,0,8,2017,1,abdullah-al-rajhi,421,2300,Saudi Arabia,0,4. Financial,66.51573369,66.51573369,1656,0,Inherited male,1,Asia
9,2014,2014,1,1,0,3,2016,1,abdulsamad-rabiu,1372,1200,Nigeria,0,6. Diversified / Other,54,NA,936,0,Inherited male,0,Africa
9,2019,2019,1,1,0,5,2023,2,abdulsamad-rabiu,1425,1600,Nigeria,0,6. Diversified / Other,59,NA,1344,0,Inherited male,0,Africa
10,2015,2015,1,1,0,9,2023,1,abhay-firodia,1605,1150,India,0,5. Tradable,71,NA,897,0,Inherited male,0,Asia
11,2023,2023,1,1,0,1,2023,1,abhay-soi,2259,1200,India,1,2. New Sector,50,NA,1200,0,Self-made male,0,Asia
12,2020,2020,0,1,1,2,2021,1,abhay-vakil,648,3100,India,0,5. Tradable,70,NA,2666,0,Inherited male,0,Asia
13,2023,2023,1,1,0,1,2023,1,abigail-bennett,2405,1100,United States,0,5. Tradable,43,NA,1100,1,Inherited female,0,North America
14,2010,2010,1,1,0,14,2023,1,abigail-johnson,48,11500,United States,0,4. Financial,49,NA,8280,1,Inherited female,1,North America
15,2010,2010,1,1,0,14,2023,1,abilio-dos-santos-diniz,316,3000,Brazil,0,3. Nontradable,74,NA,2160,0,Inherited male,1,South America
16,2015,2015,1,1,0,7,2021,1,achal-bakeri,1712,1050,India,1,5. Tradable,55,NA,819,0,Self-made male,0,Asia
17,2017,2017,1,1,0,7,2023,1,acharya-balkrishna,814,2500,India,1,5. Tradable,45,NA,2025,0,Self-made male,0,Asia
18,2012,2012,0,1,1,5,2016,1,achmad-hamami,578,2200,Indonesia,1,5. Tradable,83,NA,1672,0,Self-made male,0,Asia
19,2019,2019,1,1,0,1,2019,1,adam-bowen,1941,1100,United States,1,5. Tradable,44,NA,924,0,Self-made male,0,North America
20,2022,2022,0,0,0,1,2022,1,adam-foroughi,2190,1300,United States,1,3. Nontradable,42,NA,1235,0,Self-made male,0,North America
21,2019,2019,1,1,0,5,2023,1,adam-kwok,916,2500,Hong Kong,0,4. Financial,36,NA,2100,0,Inherited male,0,Asia
22,2016,2016,1,1,0,4,2019,1,adam-neumann,1198,1500,Israel,1,4. Financial,37,NA,1185,0,Self-made male,0,Asia
22,2022,2022,1,1,0,2,2023,2,adam-neumann,2076,1400,Israel,1,4. Financial,43,NA,1330,0,Self-made male,0,Asia
23,2010,2010,1,1,0,14,2023,1,adi-godrej,148,5200,India,0,6. Diversified / Other,68,NA,3744,0,Inherited male,1,Asia
24,2023,2023,1,1,0,1,2023,1,adriaan-mol,1647,1800,Netherlands,1,2. New Sector,39,NA,1800,0,Self-made male,0,Europe
25,2022,2022,1,1,0,2,2023,1,adrian-paval,2578,1000,Romania,1,3. Nontradable,54,NA,950,0,Self-made male,0,Europe
26,2014,2014,1,1,0,10,2023,1,aerin-lauder,1465,1100,United States,0,3. Nontradable,44,NA,858,1,Inherited female,0,North America
27,2018,2018,1,1,0,6,2023,1,agnete-kirk-thinggaard,351,5400,Denmark,0,5. Tradable,35,NA,4482,1,Inherited female,0,Europe
28,2010,2010,1,1,0,14,2023,1,ahmet-calik,937,1000,Turkey,1,6. Diversified / Other,52,NA,720,0,Self-made male,1,Asia
29,2010,2010,1,1,0,9,2018,1,ahmet-nazif-zorlu,655,1500,Turkey,1,6. Diversified / Other,66,NA,1080,0,Self-made male,1,Asia
29,2021,2021,1,1,0,1,2021,2,ahmet-nazif-zorlu,2524,1100,Turkey,1,6. Diversified / Other,77,NA,968,0,Self-made male,0,Asia
30,2010,2010,1,1,0,6,2015,1,ahsen-ozokur,880,1100,Turkey,0,5. Tradable,60,NA,792,1,Inherited female,1,Asia
31,2013,2013,1,1,0,3,2015,1,airat-shaimiev,1268,1100,Russia,1,1. Resource-related,51,NA,847,0,Self-made male,0,Asia
31,2017,2017,1,1,0,7,2023,2,airat-shaimiev,1795,1100,Russia,1,1. Resource-related,55,NA,891,0,Self-made male,0,Asia
32,2019,2019,1,1,0,2,2020,1,aiyawatt-srivaddhanaprabha,290,5900,Thailand,0,3. Nontradable,34,NA,4956,0,Inherited male,0,Asia
33,2011,2011,1,1,0,4,2014,1,ajay-kalsi,736,1700,India,0,1. Resource-related,50,NA,1258,0,Inherited male,0,Asia
33,2017,2017,1,1,0,2,2018,2,ajay-kalsi,1678,1200,India,0,1. Resource-related,56,NA,972,0,Inherited male,0,Asia
34,2020,2020,1,1,0,4,2023,1,ajay-parekh,1513,1400,India,0,5. Tradable,63,NA,1204,0,Inherited male,0,Asia
35,2010,2010,1,1,0,14,2023,1,ajay-piramal,937,1000,India,0,2. New Sector,55,NA,720,0,Inherited male,1,Asia
36,2011,2011,1,1,0,13,2023,1,akio-nitori,993,1200,Japan,1,3. Nontradable,67,NA,888,0,Self-made male,0,Asia
37,2010,2010,1,1,0,14,2023,1,akira-mori,117,6300,Japan,0,4. Financial,74,NA,4536,0,Inherited male,1,Asia
38,2013,2013,1,1,0,11,2023,1,alain-bouchard,1250,1150,Canada,1,3. Nontradable,64,NA,885.5,0,Self-made male,0,North America
39,2010,2010,1,1,0,14,2023,1,alain-merieux,212,4000,France,0,2. New Sector,72,NA,2880,0,Inherited male,1,Europe
40,2012,2012,1,1,0,12,2023,1,alain-taravella,1153,1000,France,1,4. Financial,64,NA,760,0,Self-made male,0,Europe
