"","id_resp","id_within","id_vignette","deck","reihevig","firstborn","need","help","daughter","g_need","g_help","g_firstborn","dau_vig","son_vig","child_vig","iv_received","iv_parents","iv_grandparents","iv_siblings","lastiv","siblings","brothers","sisters","r_firstborn","child","n_sons","n_daughters","gifted","principles","rel_mo","rel_fa","rel_ch","hhparent","hhhelp","relstatus","partner","partnerhh","age","deutsch","mig","female","bundl","abi","employ","student","unemp","unemp_nosearch","disabled","retired","house","r_income","gideo1","gideo2","gideo3","gideo4","abi2"
"1",2,1,6,2,1,1,2,1,0,2,1,1,NA,6000,6000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,2,2,NA,0,0,4,1,1,27,1,0,0,11,1,0,1,0,0,0,0,0,3,1,2,1,2,2
"2",2,2,5,2,2,3,3,2,0,3,2,3,NA,5000,5000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,2,2,NA,0,0,4,1,1,27,1,0,0,11,1,0,1,0,0,0,0,0,3,1,2,1,2,2
"3",2,3,4,2,3,2,1,3,0,1,3,2,NA,5000,5000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,2,2,NA,0,0,4,1,1,27,1,0,0,11,1,0,1,0,0,0,0,0,3,1,2,1,2,2
"4",3,1,25,9,3,3,1,3,0,1,3,3,NA,6500,6500,1,1,0,0,2,1,0,1,0,0,NA,NA,NA,NA,1,1,NA,1,NA,2,0,NA,26,1,0,1,11,1,0,0,1,0,0,0,0,6,1,2,1,1,2
"5",3,2,26,9,1,2,2,1,0,2,1,2,NA,7000,7000,1,1,0,0,2,1,0,1,0,0,NA,NA,NA,NA,1,1,NA,1,NA,2,0,NA,26,1,0,1,11,1,0,0,1,0,0,0,0,6,1,2,1,1,2
"6",3,3,27,9,2,1,3,2,0,3,2,1,NA,3500,3500,1,1,0,0,2,1,0,1,0,0,NA,NA,NA,NA,1,1,NA,1,NA,2,0,NA,26,1,0,1,11,1,0,0,1,0,0,0,0,6,1,2,1,1,2
"7",4,1,10,4,1,1,1,2,0,1,2,1,NA,5000,5000,1,1,0,0,1,1,1,1,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,32,1,0,0,2,1,1,1,0,0,0,0,1,2,4,1,1,1,2
"8",4,2,11,4,2,3,3,1,0,3,1,3,NA,7000,7000,1,1,0,0,1,1,1,1,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,32,1,0,0,2,1,1,1,0,0,0,0,1,2,4,1,1,1,2
"9",4,3,12,4,3,2,2,3,0,2,3,2,NA,3000,3000,1,1,0,0,1,1,1,1,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,32,1,0,0,2,1,1,1,0,0,0,0,1,2,4,1,1,1,2
"10",5,1,17,6,3,1,3,1,0,3,1,1,NA,3000,3000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,1,NA,2,1,0,24,1,0,0,2,1,1,1,0,0,0,0,1,7,2,1,3,2,2
"11",5,2,18,6,2,3,2,3,0,2,3,3,NA,5000,5000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,1,NA,2,1,0,24,1,0,0,2,1,1,1,0,0,0,0,1,7,2,1,3,2,2
"12",5,3,16,6,1,2,1,2,0,1,2,2,NA,7000,7000,1,1,1,0,2,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,1,NA,2,1,0,24,1,0,0,2,1,1,1,0,0,0,0,1,7,2,1,3,2,2
"13",6,1,24,8,2,3,3,3,0,3,3,3,NA,5000,5000,0,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,51,1,NA,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,2
"14",6,2,23,8,3,1,2,2,0,2,2,1,NA,5000,5000,0,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,51,1,NA,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,2
"15",6,3,22,8,1,2,1,1,0,1,1,2,NA,5000,5000,0,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,51,1,NA,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,2
"16",7,1,15,5,3,1,1,3,0,1,3,1,NA,5000,5000,1,1,1,0,3,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,30,1,0,1,14,1,1,0,0,0,0,0,0,3,1,1,1,1,2
"17",7,2,14,5,1,2,3,2,0,3,2,2,NA,5000,5000,1,1,1,0,3,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,30,1,0,1,14,1,1,0,0,0,0,0,0,3,1,1,1,1,2
"18",7,3,13,5,2,3,2,1,0,2,1,3,NA,5000,5000,1,1,1,0,3,1,1,0,1,0,NA,NA,NA,NA,1,1,NA,0,0,2,1,1,30,1,0,1,14,1,1,0,0,0,0,0,0,3,1,1,1,1,2
"19",8,1,9,3,2,2,3,3,0,3,3,2,NA,5000,5000,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,2,1,1,1,1,1,0,0,4,1,1,57,1,0,1,2,1,1,0,0,0,0,0,1,5,3,2,1,3,2
"20",8,2,7,3,3,1,1,1,0,1,1,1,NA,5000,5000,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,2,1,1,1,1,1,0,0,4,1,1,57,1,0,1,2,1,1,0,0,0,0,0,1,5,3,2,1,3,2
"21",8,3,8,3,1,3,2,2,0,2,2,3,NA,5000,5000,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,2,1,1,1,1,1,0,0,4,1,1,57,1,0,1,2,1,1,0,0,0,0,0,1,5,3,2,1,3,2
"22",9,1,12,4,1,2,2,3,0,2,3,2,NA,5000,5000,1,1,0,0,2,1,0,1,1,1,1,2,1,NA,1,1,2,0,0,4,1,1,50,1,0,0,6,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"23",9,2,11,4,2,3,3,1,0,3,1,3,NA,5000,5000,1,1,0,0,2,1,0,1,1,1,1,2,1,NA,1,1,2,0,0,4,1,1,50,1,0,0,6,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"24",9,3,10,4,3,1,1,2,0,1,2,1,NA,5000,5000,1,1,0,0,2,1,0,1,1,1,1,2,1,NA,1,1,2,0,0,4,1,1,50,1,0,0,6,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"25",10,1,9,3,3,2,3,3,0,3,3,2,NA,5000,5000,1,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,2,NA,1,NA,4,1,1,63,1,1,0,1,1,0,0,0,0,0,1,0,3,1,1,1,1,2
"26",10,2,8,3,2,3,2,2,0,2,2,3,NA,5000,5000,1,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,2,NA,1,NA,4,1,1,63,1,1,0,1,1,0,0,0,0,0,1,0,3,1,1,1,1,2
"27",10,3,7,3,1,1,1,1,0,1,1,1,NA,5000,5000,1,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,2,NA,1,NA,4,1,1,63,1,1,0,1,1,0,0,0,0,0,1,0,3,1,1,1,1,2
"28",11,1,18,6,2,3,2,3,0,2,3,3,NA,5000,5000,1,1,0,0,1,1,1,2,0,0,NA,NA,NA,NA,2,2,NA,0,1,2,0,NA,28,1,0,1,14,1,0,1,0,0,0,0,0,2,3,4,2,2,2
"29",11,2,16,6,3,2,1,2,0,1,2,2,NA,6000,6000,1,1,0,0,1,1,1,2,0,0,NA,NA,NA,NA,2,2,NA,0,1,2,0,NA,28,1,0,1,14,1,0,1,0,0,0,0,0,2,3,4,2,2,2
"30",11,3,17,6,1,1,3,1,0,3,1,1,NA,5000,5000,1,1,0,0,1,1,1,2,0,0,NA,NA,NA,NA,2,2,NA,0,1,2,0,NA,28,1,0,1,14,1,0,1,0,0,0,0,0,2,3,4,2,2,2
"31",12,1,22,8,1,2,1,1,0,1,1,2,NA,5000,5000,1,1,0,0,3,0,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,52,1,0,1,12,1,1,0,0,0,0,0,0,6,1,3,1,1,2
"32",12,2,24,8,2,3,3,3,0,3,3,3,NA,5000,5000,1,1,0,0,3,0,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,52,1,0,1,12,1,1,0,0,0,0,0,0,6,1,3,1,1,2
"33",12,3,23,8,3,1,2,2,0,2,2,1,NA,5000,5000,1,1,0,0,3,0,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,52,1,0,1,12,1,1,0,0,0,0,0,0,6,1,3,1,1,2
"34",13,1,15,5,3,1,1,3,0,1,3,1,NA,5000,5000,0,NA,NA,NA,NA,1,1,0,1,1,2,0,1,NA,NA,NA,2,NA,NA,3,0,NA,66,1,0,0,2,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"35",13,2,13,5,2,3,2,1,0,2,1,3,NA,5000,5000,0,NA,NA,NA,NA,1,1,0,1,1,2,0,1,NA,NA,NA,2,NA,NA,3,0,NA,66,1,0,0,2,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"36",13,3,14,5,1,2,3,2,0,3,2,2,NA,5000,5000,0,NA,NA,NA,NA,1,1,0,1,1,2,0,1,NA,NA,NA,2,NA,NA,3,0,NA,66,1,0,0,2,1,1,0,0,0,0,0,0,7,2,4,2,2,2
"37",14,1,18,6,3,3,2,3,0,2,3,3,NA,5000,5000,1,1,1,0,3,0,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,2,1,1,33,1,0,0,4,0,1,0,0,0,0,0,0,4,4,1,1,2,1
"38",14,2,16,6,1,2,1,2,0,1,2,2,NA,5000,5000,1,1,1,0,3,0,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,2,1,1,33,1,0,0,4,0,1,0,0,0,0,0,0,4,4,1,1,2,1
