id,syear,sex,alter,anz_pers,anz_kind,bildung,erwerb,branche,gesund_org,lebensz_org,einkommenj1,einkommenj2,einkommenm1,einkommenm2
194,2015,[1] weiblich,59,2,0,10.5,[2] Teilzeitbeschäftigung,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[4] Weniger gut,6,28678.943,0,1659.1285,0
194,2016,[1] weiblich,60,2,0,10.5,[2] Teilzeitbeschäftigung,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,5,19962.293,0,1809.3364,0
194,2017,[1] weiblich,61,2,0,10.5,[2] Teilzeitbeschäftigung,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[3] Zufriedenstellend,7,22227.676,0,1849.0375,0
194,2018,[1] weiblich,62,2,0,10.5,[2] Teilzeitbeschäftigung,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[5] Schlecht,5,22100.379,0,1616.5137,0
194,2019,[1] weiblich,63,2,0,10.5,[2] Teilzeitbeschäftigung,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[4] Weniger gut,6,23157.92,0,1901.0012,0
19052,2015,[1] weiblich,74,2,0,10,[5] Nicht erwerbstätig,,[2] Gut,8,0,0,0,0
27495,2016,[1] weiblich,35,3,1,15,[5] Nicht erwerbstätig,,[2] Gut,8,14430.265,0,0,0
27495,2018,[1] weiblich,37,3,1,15,[1] Voll erwerbstätig,,[3] Zufriedenstellend,8,48435.137,0,3991.4524,0
27495,2019,[1] weiblich,38,3,1,15,[1] Voll erwerbstätig,"[84] Oeffentliche Verwaltung, Verteidigung; Sozialversicherung",[2] Gut,8,53623.965,0,4517.9331,0
22539,2015,[0] männlich,85,2,0,18,[5] Nicht erwerbstätig,,[3] Zufriedenstellend,8,0,0,0,0
13224,2015,[1] weiblich,73,1,0,10.5,[5] Nicht erwerbstätig,,[4] Weniger gut,5,0,0,0,0
13224,2016,[1] weiblich,74,1,0,10.5,[5] Nicht erwerbstätig,,,8,0,0,0,0
17316,2015,[0] männlich,43,4,2,15,[1] Voll erwerbstätig,[88] Sozialwesen (ohne Heime),[3] Zufriedenstellend,8,41679.898,0,4085.0254,0
17316,2016,[0] männlich,44,4,2,15,[1] Voll erwerbstätig,[88] Sozialwesen (ohne Heime),[3] Zufriedenstellend,7,39990.832,0,3096.562,0
